datetime_utc,second,frame,bee1_x,bee1_y,bee1_r,bee1_p
2022-05-05 12:44:23+00:00,60.0,1500.0,-119.6769229338403,-121.0233570516632,170.20346305221497,3.9325845789657863
2022-05-05 12:44:23.200000+00:00,60.2,1505.0,-130.16311238695758,-109.3593801619756,170.00561712976207,3.840353213623448
2022-05-05 12:44:23.400000+00:00,60.4,1510.0,-140.5331653041913,-97.26751989469936,170.91091532398067,3.747018631446773
2022-05-05 12:44:23.600000+00:00,60.6,1515.0,-147.27293689217285,-85.6958679734523,170.39102009369302,3.668585571252488
2022-05-05 12:44:23.800000+00:00,60.8,1520.0,-148.7263247347033,-72.94362754607423,165.65111671423412,3.597575460807126
2022-05-05 12:44:24+00:00,61.0,1525.0,-148.29333292389325,-60.8479386475769,160.29156006270549,3.530965062870451
2022-05-05 12:44:24.200000+00:00,61.2,1530.0,-149.9640056382401,-49.19912073206989,157.82824990436566,3.4586013371631976
2022-05-05 12:44:24.400000+00:00,61.4,1535.0,-153.49275233093232,-36.87573593424157,157.8602068882999,3.377368475126412
2022-05-05 12:44:24.600000+00:00,61.6,1540.0,-155.5604097966199,-22.684015233543217,157.20561581320158,3.286393331600984
2022-05-05 12:44:24.800000+00:00,61.8,1545.0,-155.7860365571372,-7.0439105124033965,155.94520146990237,3.1867771663042057
2022-05-05 12:44:25+00:00,62.0,1550.0,-154.1963197174279,9.30165039312073,154.4766186658521,3.081342238149595
2022-05-05 12:44:25.200000+00:00,62.2,1555.0,-150.48851274606716,24.34985217839889,152.44575353099572,2.981177565269641
2022-05-05 12:44:25.400000+00:00,62.4,1560.0,-147.59230528777803,37.85467221939133,152.36950084908142,2.8905232697590217
2022-05-05 12:44:25.600000+00:00,62.6,1565.0,-147.4347415217958,51.859185038080575,156.28940488853564,2.8033656127411497
2022-05-05 12:44:25.800000+00:00,62.8,1570.0,-149.05858940718633,66.03557074207383,163.03116168172144,2.7245604871168223
2022-05-05 12:44:26+00:00,63.0,1575.0,-147.9761087703762,79.09290277647122,167.78741322408703,2.6507291835619444
2022-05-05 12:44:26.200000+00:00,63.2,1580.0,-143.48872751018936,90.68216804541538,169.74177601259606,2.577988943990556
2022-05-05 12:44:26.400000+00:00,63.4,1585.0,-134.21417699954927,101.30877921021748,168.15740855737204,2.4950080173172093
2022-05-05 12:44:26.600000+00:00,63.6,1590.0,-121.7086178117442,109.68770839477035,163.84254948743137,2.40809727233088
2022-05-05 12:44:26.800000+00:00,63.8,1595.0,-108.29068245604604,118.23356150360344,160.33105429898032,2.3123294235733125
2022-05-05 12:44:27+00:00,64.0,1600.0,-93.18323418295851,128.02608971566852,158.34707064129887,2.1999672421959984
2022-05-05 12:44:27.200000+00:00,64.2,1605.0,-76.71108085850192,137.9385238332122,157.83417337118496,2.078329974321909
2022-05-05 12:44:27.400000+00:00,64.4,1610.0,-58.52680366062313,146.55947708072796,157.81339318608403,1.950732091164722
2022-05-05 12:44:27.600000+00:00,64.6,1615.0,-39.29346422540108,154.56490506593204,159.48130363423,1.819742636347532
2022-05-05 12:44:27.800000+00:00,64.8,1620.0,-21.229092808482463,162.89609528297154,164.27358959951567,1.700388859087557
2022-05-05 12:44:28+00:00,65.0,1625.0,-4.254691930841228,169.30402565672156,169.35747845016527,1.5959215214412428
2022-05-05 12:44:28.200000+00:00,65.2,1630.0,12.731884439176648,171.0638350183986,171.53698298785147,1.49650562163453
2022-05-05 12:44:28.400000+00:00,65.4,1635.0,30.25806107298797,169.52384705568596,172.20303417900706,1.3941678154791592
2022-05-05 12:44:28.600000+00:00,65.6,1640.0,46.63786939934716,166.67181802405938,173.07393155976936,1.29795587372874
2022-05-05 12:44:28.800000+00:00,65.8,1645.0,58.872495958054266,160.9493971527086,171.37875954782564,1.220131011828293
2022-05-05 12:44:29+00:00,66.0,1650.0,66.94658820963605,155.32723141727402,169.1401622698346,1.1638516275963255
2022-05-05 12:44:29.200000+00:00,66.2,1655.0,73.46050015214068,151.82453456743875,168.66278302939884,1.1201509281144029
2022-05-05 12:44:29.400000+00:00,66.4,1660.0,82.93581303894675,148.90071004720818,170.43993234272858,1.0626043745718723
2022-05-05 12:44:29.600000+00:00,66.6,1665.0,94.95132570830457,142.52493375739576,171.25744070350518,0.9831109662210656
2022-05-05 12:44:29.800000+00:00,66.8,1670.0,104.43315449253312,131.3898866283324,167.83797563563297,0.8992133072013002
2022-05-05 12:44:30+00:00,67.0,1675.0,109.5503962524337,118.75791609225216,161.5695885791619,0.8257056438428442
2022-05-05 12:44:30.200000+00:00,67.2,1680.0,114.30237004210774,108.23667600641804,157.41731108795258,0.7581481473592412
2022-05-05 12:44:30.400000+00:00,67.4,1685.0,121.73051308759962,98.61831632479662,156.66489757219998,0.6808911691405231
2022-05-05 12:44:30.600000+00:00,67.6,1690.0,128.6064530627635,86.31249161832271,154.88533170945473,0.5910907595484202
2022-05-05 12:44:30.800000+00:00,67.8,1695.0,134.1217121582616,73.35300014941036,152.87019429301114,0.5004705934107035
2022-05-05 12:44:31+00:00,68.0,1700.0,140.10288718842563,61.63638019975892,153.06162929572503,0.4144537110322244
2022-05-05 12:44:31.200000+00:00,68.2,1705.0,147.1265580830454,52.852775913582114,156.3318266225245,0.3448767809174233
2022-05-05 12:44:31.400000+00:00,68.4,1710.0,154.44819559214386,48.38063101583324,161.84848031155354,0.3035664265677646
2022-05-05 12:44:31.600000+00:00,68.6,1715.0,160.0269711952043,44.90074990445032,166.20682552739146,0.2735486706584246
