datetime_utc,second,frame,bee1_x,bee1_y,bee2_x,bee2_y,bee3_x,bee3_y,bee1_r,bee1_p,bee2_r,bee2_p,bee3_r,bee3_p
2022-05-05 14:17:50+00:00,60.0,1500.0,-99.34970768153748,121.60229662544566,-92.10831459854676,136.42811346858872,175.07902686049135,25.833450046456672,157.0270134753566,2.255820620310931,164.61036347321206,2.1646433645420657,176.97466707899022,0.1464960192367027
2022-05-05 14:17:50.200000+00:00,60.2,1505.0,-100.35000097459998,119.91505029694942,-91.5345039204427,139.6210393986792,174.09045063888243,29.649270355888014,156.36413266258387,2.2676019690555584,166.95089113487555,2.151092953174772,176.59718071443186,0.1686910196326475
2022-05-05 14:17:50.400000+00:00,60.4,1510.0,-101.43475894289016,117.20101771279656,-89.51072657456093,141.21121023963445,173.21138860152553,32.12778834724371,155.00028669237193,2.2842071189657807,167.19083727659253,2.135754601542422,176.1657739895976,0.1833988558283458
2022-05-05 14:17:50.600000+00:00,60.6,1515.0,-102.99912333632616,114.66416224184948,-88.1518522000227,141.71202642674467,172.7497602983537,34.514054501622475,154.13205218473186,2.3026535804451247,166.89232301178214,2.127270901516709,176.16384317242748,0.197195743296569
2022-05-05 14:17:50.800000+00:00,60.8,1520.0,-105.6677871454831,111.49474887644816,-88.02395452749138,144.57075011842574,172.04276604374996,36.81073282896729,153.61237016349094,2.3293686664175777,169.25991362535362,2.117708142356396,175.93675965923123,0.2107844690107861
2022-05-05 14:17:51+00:00,61.0,1525.0,-110.26578461558954,106.48596006487844,-88.95460755042616,147.00342798336104,170.93276201859726,38.76533439146717,153.2899310060203,2.373631219370688,171.82237934363948,2.1149714988980737,175.27338726055555,0.2230147162455356
2022-05-05 14:17:51.200000+00:00,61.2,1530.0,-116.52237705810232,100.19154232517609,-89.84334926964756,148.21863765694548,169.91261546000376,42.43667895025828,153.67436191104915,2.431408982418269,173.32222003213778,2.115728688290736,175.13186064444815,0.2447489129392759
2022-05-05 14:17:51.400000+00:00,61.4,1535.0,-122.46485504510552,93.54154950229292,-90.07996963499669,149.4960476913938,168.61267510231195,48.02254860582495,154.10276507742688,2.4893029678443788,174.53787326763614,2.1130942440913247,175.31799502548685,0.2774632714584137
2022-05-05 14:17:51.600000+00:00,61.6,1540.0,-127.49958259372904,85.85514683321247,-88.36067213895302,148.97619137456653,167.16309796357277,52.577388482922174,153.71157991292526,2.548959564469596,173.20945117781253,2.1061412158469315,175.236648850813,0.3047309028232871
2022-05-05 14:17:51.800000+00:00,61.8,1545.0,-132.18854848788598,77.65253570165862,-86.00635607395819,146.47427214585832,166.4097976243557,56.61272556665901,153.30925820781846,2.6104613566302106,169.85819287211154,2.1017339557194754,175.77605480117268,0.3279183770347702
2022-05-05 14:17:52+00:00,62.0,1550.0,-135.28652304184547,70.34444443120447,-84.05318825919139,142.65458798352105,165.189271156504,61.647312273429534,152.48207822261145,2.6620998215150085,165.5755716562175,2.103242551366147,176.31757262324916,0.3571846212187861
2022-05-05 14:17:52.200000+00:00,62.2,1555.0,-138.15278871113284,63.15661248660359,-82.35764749787458,139.06151982694175,161.30300430888292,69.08278317698027,151.9044131335424,2.712808328063676,161.61957925314334,2.105489623295121,175.47390156530165,0.4046451997603431
2022-05-05 14:17:52.400000+00:00,62.4,1560.0,-142.24527712341802,56.86720236567388,-81.81595950533153,136.59277941503015,157.12770214854106,75.75484542459294,153.19137563458492,2.7612736095221826,159.22135101204591,2.110463423223801,174.43598077169918,0.4492438265950197
2022-05-05 14:17:52.600000+00:00,62.6,1565.0,-146.14927200555462,50.54823637404682,-82.07658764315273,134.59971719011986,155.41761297356976,79.50541898738899,154.64389386031414,2.8086043688383846,157.65040471500345,2.1183780018150165,174.57303935820843,0.4728527060309172
2022-05-05 14:17:52.800000+00:00,62.8,1570.0,-149.3060234080597,43.09927504333809,-81.85379170591489,133.5602249448087,155.2727333866402,81.36791130537408,155.40217545192016,2.860568023390201,156.6473009788014,2.1206184800086008,175.30076646597377,0.4826880085844003
2022-05-05 14:17:53+00:00,63.0,1575.0,-151.32473208127044,34.071911328962486,-81.67869243758838,133.19973394330722,155.67839040621695,82.37219299323957,155.11308674988376,2.920128223986892,156.2484493391278,2.120868573295452,176.12762252976108,0.4866695211332362
2022-05-05 14:17:53.200000+00:00,63.2,1580.0,-152.20380165386246,24.7838388103322,-81.6050524930928,132.81045742049372,152.74251762084873,87.91261024129456,154.20841709862933,2.98017609528418,155.8781645793958,2.121771308997644,176.23536457985116,0.5222556564110932
2022-05-05 14:17:53.400000+00:00,63.4,1585.0,-154.5113516322712,16.919892811521557,-81.36640929287145,132.25040464352026,144.88498785023395,96.94204895863692,155.4350042814833,3.0325214213849407,155.27608344361963,2.122350086767117,174.32561647864952,0.5896829608174999
2022-05-05 14:17:53.600000+00:00,63.6,1590.0,-158.65485533995215,9.948729500774784,-81.80700414583735,131.0543942388823,136.91328899084778,104.2023509297623,158.9664755274543,3.078967906054518,154.49155373882886,2.128835810481751,172.05632403832394,0.6505564578315399
2022-05-05 14:17:53.800000+00:00,63.8,1595.0,-163.5116417097893,1.9468965535869225,-83.93303745827113,130.72340310633413,132.46251238214458,109.60318667377383,163.52323192996425,3.129686439840395,155.3491644543757,2.1415737256389176,171.9278212379716,0.6912430020042817
2022-05-05 14:17:54+00:00,64.0,1600.0,-168.39930149220135,-7.0653020178998815,-86.39220013511348,130.3742039560773,127.99167869761604,116.23116916943346,168.54745099130238,3.183523710903787,156.4002727023401,2.156011585261862,172.89174214613965,0.737280504363602
